property_id,listing_type,property_type,neighborhood,town,bedrooms,bathrooms,parking_spaces,floor_size_sqm,land_size_acres,year_built,floor_number,condition,furnishing,has_swimming_pool,has_gym,has_borehole,has_backup_generator,has_security,has_garden,is_gated_community,distance_to_cbd_km,location_tier,price_ksh
80,For Rent,Studio,Embakasi,Nairobi,0,1,1,35,,1992,3,Excellent,Furnished,0,0,1,0,1,0,0,15.0,affordable,25000
81,For Rent,Apartment,Embakasi,Nairobi,2,2,1,116,,2023,3,Excellent,Semi-Furnished,0,0,1,0,0,0,0,15.0,affordable,51000
82,For Rent,Apartment,Githurai,Nairobi,2,2,1,108,,1996,0,Excellent,Semi-Furnished,0,0,1,0,1,0,0,19.0,affordable,23000
85,For Rent,Apartment,Githurai,Nairobi,2,2,1,105,,1999,10,Good,Unfurnished,0,0,1,0,0,0,0,19.0,affordable,18000
86,For Rent,Apartment,Githurai,Nairobi,2,1,2,95,,1997,9,Good,Semi-Furnished,0,0,0,0,1,0,0,19.0,affordable,19000
87,For Rent,Apartment,Githurai,Nairobi,1,1,2,60,,2008,6,Good,Unfurnished,0,0,0,0,1,0,0,19.0,affordable,21000
89,For Rent,Studio,Githurai,Nairobi,0,1,2,33,,2020,3,New,Furnished,0,0,1,0,1,0,0,19.0,affordable,25000
91,For Rent,Studio,Githurai,Nairobi,0,1,2,29,,2001,0,New,Semi-Furnished,0,0,1,0,1,0,0,19.0,affordable,21000
92,For Rent,Apartment,Githurai,Nairobi,1,1,2,80,,2024,14,Excellent,Unfurnished,0,0,0,0,1,0,0,19.0,affordable,23000
93,For Rent,Apartment,Githurai,Nairobi,2,2,1,125,,2004,7,Excellent,Unfurnished,0,0,0,0,0,0,0,19.0,affordable,19000
94,For Rent,Apartment,Githurai,Nairobi,3,2,2,123,,2017,2,Good,Unfurnished,0,0,1,0,1,0,0,19.0,affordable,22000
95,For Rent,Bungalow,Githurai,Nairobi,3,2,1,37,1.604,2015,0,Fair,Semi-Furnished,0,0,0,0,1,1,0,19.0,affordable,26000
96,For Rent,Apartment,Githurai,Nairobi,2,1,2,85,,2002,0,New,Unfurnished,0,0,1,0,0,0,0,19.0,affordable,24000
97,For Rent,Apartment,Githurai,Nairobi,1,1,1,60,,1994,0,Good,Unfurnished,0,0,0,0,0,0,0,19.0,affordable,20000
98,For Rent,Apartment,Githurai,Nairobi,1,1,2,86,,2010,12,Good,Semi-Furnished,0,0,0,0,1,0,0,19.0,affordable,19000
99,For Rent,Studio,Githurai,Nairobi,0,1,2,39,,2020,12,New,Furnished,0,0,1,0,1,0,0,19.0,affordable,24000
100,For Rent,Apartment,Githurai,Nairobi,2,1,0,165,,1994,13,Excellent,Furnished,0,0,1,0,0,0,0,19.0,affordable,30000
101,For Rent,Apartment,Githurai,Nairobi,3,2,0,129,,2001,11,Excellent,Semi-Furnished,0,0,0,0,1,0,0,19.0,affordable,27000
102,For Rent,Apartment,Githurai,Nairobi,3,3,1,112,,1993,4,Excellent,Furnished,0,0,0,0,1,0,0,19.0,affordable,26000
104,For Rent,Apartment,Githurai,Nairobi,2,2,1,77,,2023,13,New,Unfurnished,0,0,0,0,1,0,0,19.0,affordable,17000
108,For Rent,Apartment,Githurai,Nairobi,1,1,1,74,,2015,11,Fair,Unfurnished,0,0,1,0,0,0,0,19.0,affordable,21000
111,For Rent,Apartment,Githurai,Nairobi,3,2,2,88,,2002,9,New,Unfurnished,0,0,0,0,1,0,0,19.0,affordable,24000
114,For Rent,Apartment,Hurlingham,Nairobi,2,1,1,105,,2014,2,Excellent,Semi-Furnished,0,0,0,0,1,0,0,4.5,mid,64000
115,For Rent,Bungalow,Hurlingham,Nairobi,3,2,2,137,0.193,2013,0,Excellent,Semi-Furnished,0,0,0,0,1,1,0,4.5,mid,112000
116,For Rent,Townhouse,Hurlingham,Nairobi,3,3,3,101,,2023,0,New,Unfurnished,0,0,1,0,1,0,0,4.5,mid,50000
117,For Rent,Bungalow,Hurlingham,Nairobi,3,2,1,132,0.473,2015,0,Good,Semi-Furnished,0,0,1,0,1,1,0,4.5,mid,113000
118,For Rent,Bungalow,Hurlingham,Nairobi,4,4,1,215,0.224,2009,0,Excellent,Furnished,0,0,0,0,1,1,0,4.5,mid,166000
119,For Rent,Townhouse,Hurlingham,Nairobi,4,4,2,199,,2023,0,Good,Unfurnished,0,0,0,0,1,0,0,4.5,mid,149000
120,For Rent,Apartment,Hurlingham,Nairobi,3,3,1,184,,2017,9,New,Semi-Furnished,0,0,1,0,0,0,0,4.5,mid,101000
121,For Rent,Apartment,Hurlingham,Nairobi,2,2,0,83,,1995,6,Fair,Semi-Furnished,0,0,0,0,1,0,0,4.5,mid,146000
122,For Rent,Bungalow,Hurlingham,Nairobi,3,3,2,81,0.147,2011,0,New,Unfurnished,0,0,0,0,1,1,0,4.5,mid,93000
124,For Rent,Bungalow,Hurlingham,Nairobi,4,4,3,164,0.16,2001,0,New,Unfurnished,0,0,0,0,1,1,0,4.5,mid,126000
125,For Rent,Townhouse,Hurlingham,Nairobi,3,3,3,137,,2016,0,Excellent,Unfurnished,0,0,0,0,1,0,0,4.5,mid,47000
130,For Rent,Apartment,Hurlingham,Nairobi,3,2,2,155,,1995,13,New,Unfurnished,0,0,0,0,1,0,0,4.5,mid,82000
131,For Rent,Apartment,Hurlingham,Nairobi,4,4,2,101,,2003,4,New,Unfurnished,0,0,0,0,1,0,0,4.5,mid,75000
132,For Rent,Apartment,Hurlingham,Nairobi,2,1,1,127,,2010,1,New,Unfurnished,0,0,1,0,0,0,0,4.5,mid,85000
135,For Rent,Apartment,Hurlingham,Nairobi,4,4,1,224,,1999,8,Good,Semi-Furnished,0,0,0,0,1,0,0,4.5,mid,88000
136,For Rent,Apartment,Hurlingham,Nairobi,2,2,2,80,,2024,1,Good,Unfurnished,0,0,1,0,0,0,0,4.5,mid,94000
137,For Rent,Apartment,Hurlingham,Nairobi,1,1,1,65,,2019,11,Excellent,Semi-Furnished,0,0,0,0,1,0,0,4.5,mid,76000
143,For Rent,Apartment,Hurlingham,Nairobi,1,1,1,68,,2011,0,Excellent,Semi-Furnished,0,0,1,0,1,0,0,4.5,mid,93000
144,For Rent,Apartment,Hurlingham,Nairobi,3,3,1,132,,2022,2,Excellent,Semi-Furnished,0,0,1,0,1,0,0,4.5,mid,66000
145,For Rent,Apartment,Hurlingham,Nairobi,2,1,0,71,,2011,1,Good,Furnished,0,0,1,0,1,0,0,4.5,mid,123000
147,For Rent,Apartment,Hurlingham,Nairobi,3,2,0,177,,2011,12,New,Unfurnished,0,0,1,0,1,0,0,4.5,mid,83000
152,For Rent,Bungalow,Kahawa Sukari,Nairobi,2,2,2,130,0.451,1996,0,Excellent,Semi-Furnished,0,0,1,0,1,1,1,20.0,affordable,39000
154,For Rent,Townhouse,Kahawa Sukari,Nairobi,1,1,2,71,,1999,0,Excellent,Unfurnished,0,0,0,0,1,0,1,20.0,affordable,10000
156,For Rent,Apartment,Kahawa Sukari,Nairobi,2,2,0,79,,1995,6,Fair,Unfurnished,0,0,0,0,1,0,0,20.0,affordable,40000
158,For Rent,Bungalow,Kahawa Sukari,Nairobi,4,4,2,220,0.541,2023,0,Good,Semi-Furnished,0,0,0,0,0,1,1,20.0,affordable,32000
160,For Rent,Bungalow,Kahawa Sukari,Nairobi,4,4,2,220,0.518,2019,0,Good,Furnished,0,0,0,0,1,1,0,20.0,affordable,50000
161,For Rent,Townhouse,Kahawa Sukari,Nairobi,3,2,1,130,,2018,0,New,Unfurnished,0,0,0,0,1,0,0,20.0,affordable,28000
162,For Rent,Townhouse,Kahawa Sukari,Nairobi,2,1,2,78,,2003,0,New,Semi-Furnished,0,0,1,0,1,0,0,20.0,affordable,30000
163,For Rent,Apartment,Kahawa Sukari,Nairobi,3,2,1,91,,2006,5,New,Furnished,0,0,1,0,1,0,0,20.0,affordable,35000
164,For Rent,Apartment,Kahawa Sukari,Nairobi,2,1,0,92,,2013,5,New,Furnished,0,0,1,0,1,0,0,20.0,affordable,24000
165,For Rent,Bungalow,Kahawa Sukari,Nairobi,4,3,2,147,0.111,2013,0,Excellent,Furnished,0,0,0,0,0,1,0,20.0,affordable,55000
167,For Rent,Bungalow,Kahawa Sukari,Nairobi,1,1,2,63,0.437,2005,0,New,Furnished,0,0,0,0,1,1,1,20.0,affordable,40000
171,For Rent,Townhouse,Kahawa Sukari,Nairobi,2,1,2,110,,2008,0,Excellent,Unfurnished,0,0,1,0,0,0,0,20.0,affordable,40000
173,For Rent,Apartment,Kahawa Sukari,Nairobi,3,2,1,163,,2009,4,New,Furnished,0,0,1,0,1,0,1,20.0,affordable,51000
174,For Rent,Apartment,Kahawa Sukari,Nairobi,3,2,1,139,,2017,6,Good,Semi-Furnished,0,0,1,0,1,0,0,20.0,affordable,59000
176,For Rent,Apartment,Kahawa Sukari,Nairobi,1,1,2,99,,1999,0,Good,Unfurnished,0,0,0,0,1,0,0,20.0,affordable,17000
177,For Rent,Bungalow,Kahawa West,Nairobi,2,1,2,97,0.5,2003,0,New,Semi-Furnished,0,0,0,0,1,1,0,18.0,affordable,19000
184,For Rent,Townhouse,Kahawa West,Nairobi,2,1,1,96,,2017,0,New,Semi-Furnished,0,0,0,0,0,0,1,18.0,affordable,33000
185,For Rent,Bungalow,Kahawa West,Nairobi,2,1,2,99,1.073,2023,0,New,Semi-Furnished,0,0,1,0,1,1,1,18.0,affordable,31000
186,For Rent,Townhouse,Kahawa West,Nairobi,3,3,2,153,,2020,0,Excellent,Furnished,0,0,1,0,1,0,0,18.0,affordable,33000
187,For Rent,Townhouse,Kahawa West,Nairobi,2,2,2,72,,2003,0,Fair,Unfurnished,0,0,1,0,1,0,0,18.0,affordable,24000
189,For Rent,Apartment,Kahawa West,Nairobi,3,3,1,153,,1998,4,Good,Unfurnished,0,0,1,0,1,0,1,18.0,affordable,31000
192,For Rent,Apartment,Kahawa West,Nairobi,2,2,1,112,,2018,5,Excellent,Unfurnished,0,0,1,0,1,0,0,18.0,affordable,39000
194,For Rent,Bungalow,Kahawa West,Nairobi,2,1,2,52,0.464,1997,0,New,Semi-Furnished,0,0,1,0,1,1,1,18.0,affordable,30000
196,For Rent,Apartment,Kahawa West,Nairobi,3,2,0,143,,2018,3,Good,Semi-Furnished,0,0,1,0,1,0,0,18.0,affordable,38000
198,For Rent,Bungalow,Kahawa West,Nairobi,3,2,1,173,0.056,2023,0,Excellent,Unfurnished,0,0,1,0,1,1,1,18.0,affordable,32000
200,For Rent,Apartment,Kahawa West,Nairobi,2,1,1,72,,2017,5,Excellent,Semi-Furnished,0,0,1,0,1,0,0,18.0,affordable,21000
202,For Rent,Bungalow,Karen,Nairobi,4,3,2,211,0.215,1999,0,Excellent,Unfurnished,0,1,0,1,1,1,1,16.0,premium,198000
203,For Rent,Bungalow,Karen,Nairobi,3,3,2,144,0.496,2021,0,New,Unfurnished,0,0,1,1,1,1,1,16.0,premium,103000
204,For Rent,Townhouse,Karen,Nairobi,3,3,1,87,,2008,0,Excellent,Unfurnished,0,1,0,0,0,0,0,16.0,premium,176000
205,For Rent,Townhouse,Karen,Nairobi,3,2,3,117,,1992,0,New,Furnished,1,0,0,0,1,0,1,16.0,premium,193000
206,For Rent,Maisonette,Karen,Nairobi,3,2,2,88,0.04,2014,0,Good,Semi-Furnished,1,1,1,1,1,1,0,16.0,premium,215000
209,For Rent,Maisonette,Karen,Nairobi,3,2,2,109,0.498,2022,0,New,Semi-Furnished,0,0,1,1,1,1,0,16.0,premium,231000
212,For Rent,Villa,Karen,Nairobi,5,4,2,252,0.421,2019,0,New,Furnished,0,0,0,1,1,1,1,16.0,premium,211000
213,For Rent,Villa,Karen,Nairobi,5,5,1,248,1.004,2006,0,Excellent,Unfurnished,0,1,1,1,1,1,0,16.0,premium,228000
214,For Rent,Townhouse,Karen,Nairobi,3,2,2,94,,2023,0,Excellent,Semi-Furnished,0,0,0,0,1,0,1,16.0,premium,250000
215,For Rent,Townhouse,Karen,Nairobi,3,2,1,155,,2007,0,Good,Unfurnished,0,0,1,0,1,0,1,16.0,premium,204000
216,For Rent,Villa,Karen,Nairobi,5,4,2,161,0.971,2007,0,Excellent,Furnished,0,0,1,0,1,1,0,16.0,premium,322000
219,For Rent,Townhouse,Karen,Nairobi,4,3,3,184,,1995,0,Excellent,Unfurnished,1,0,1,1,1,0,1,16.0,premium,202000
221,For Rent,Maisonette,Karen,Nairobi,4,4,3,147,1.461,1994,0,Excellent,Semi-Furnished,0,1,1,1,1,1,1,16.0,premium,201000
222,For Rent,Townhouse,Karen,Nairobi,4,3,2,178,,2001,0,New,Unfurnished,1,1,0,1,1,0,1,16.0,premium,183000
224,For Rent,Maisonette,Karen,Nairobi,4,3,3,155,0.221,1997,0,Excellent,Unfurnished,0,0,0,1,1,1,1,16.0,premium,222000
225,For Rent,Maisonette,Karen,Nairobi,3,2,2,89,0.134,1992,0,Excellent,Semi-Furnished,0,0,0,0,1,1,0,16.0,premium,182000
226,For Rent,Villa,Karen,Nairobi,4,3,1,144,0.907,2020,0,Excellent,Semi-Furnished,0,0,1,1,1,1,1,16.0,premium,297000
227,For Rent,Maisonette,Karen,Nairobi,3,3,2,150,0.289,2009,0,Fair,Furnished,0,1,1,0,1,1,1,16.0,premium,265000
228,For Rent,Bungalow,Karen,Nairobi,5,5,2,239,0.07,2014,0,Excellent,Unfurnished,1,1,0,0,1,1,0,16.0,premium,211000
229,For Rent,Townhouse,Karen,Nairobi,4,3,3,170,,2022,0,Excellent,Furnished,0,1,0,1,1,0,1,16.0,premium,216000
233,For Rent,Townhouse,Karen,Nairobi,3,2,1,109,,2015,0,Excellent,Unfurnished,0,0,1,0,1,0,0,16.0,premium,180000
235,For Rent,Apartment,Kasarani,Nairobi,2,2,0,123,,2019,13,Excellent,Unfurnished,0,0,1,0,0,0,0,16.0,affordable,30000
236,For Rent,Studio,Kasarani,Nairobi,0,1,2,22,,1998,4,Excellent,Semi-Furnished,0,0,1,0,1,0,0,16.0,affordable,23000
237,For Rent,Studio,Kasarani,Nairobi,0,1,0,26,,2013,15,Excellent,Semi-Furnished,0,0,1,0,1,0,0,16.0,affordable,41000
238,For Rent,Apartment,Kasarani,Nairobi,3,2,2,147,,2019,3,Excellent,Unfurnished,0,0,0,0,1,0,0,16.0,affordable,35000
239,For Rent,Bungalow,Kasarani,Nairobi,4,3,3,205,1.531,2012,0,Excellent,Furnished,0,0,0,0,1,1,0,16.0,affordable,43000
242,For Rent,Apartment,Kasarani,Nairobi,2,1,2,65,,2017,5,Excellent,Semi-Furnished,0,0,1,0,1,0,0,16.0,affordable,34000
244,For Rent,Apartment,Kasarani,Nairobi,4,4,2,165,,2016,0,New,Furnished,0,0,0,0,1,0,0,16.0,affordable,72000
247,For Rent,Apartment,Kasarani,Nairobi,1,1,0,83,,2016,12,Good,Unfurnished,0,0,0,0,1,0,0,16.0,affordable,41000
249,For Rent,Bungalow,Kasarani,Nairobi,4,3,1,162,0.511,2009,0,Good,Semi-Furnished,0,0,0,0,1,1,0,16.0,affordable,61000
253,For Rent,Studio,Kasarani,Nairobi,0,1,2,27,,2021,15,Good,Unfurnished,0,0,0,0,0,0,0,16.0,affordable,36000
257,For Rent,Apartment,Kasarani,Nairobi,2,1,2,64,,2000,7,Good,Unfurnished,0,0,0,0,0,0,0,16.0,affordable,47000
260,For Rent,Bungalow,Kasarani,Nairobi,4,4,2,243,0.995,1998,0,Good,Unfurnished,0,0,1,0,0,1,0,16.0,affordable,44000
261,For Rent,Apartment,Kasarani,Nairobi,2,1,1,141,,2020,3,New,Unfurnished,0,0,0,0,1,0,0,16.0,affordable,45000
262,For Rent,Apartment,Kasarani,Nairobi,3,3,1,192,,2006,13,New,Semi-Furnished,0,0,0,0,1,0,0,16.0,affordable,39000
266,For Rent,Bungalow,Kasarani,Nairobi,5,4,3,241,0.292,2006,0,Good,Semi-Furnished,0,0,0,0,1,1,0,16.0,affordable,50000
269,For Rent,Apartment,Kasarani,Nairobi,2,2,0,115,,1999,14,New,Unfurnished,0,0,0,0,1,0,0,16.0,affordable,40000
270,For Rent,Bungalow,Kasarani,Nairobi,4,3,2,147,0.95,2012,0,Excellent,Semi-Furnished,0,0,0,0,1,1,0,16.0,affordable,26000
271,For Rent,Studio,Kikuyu,Nairobi,0,1,2,38,,2004,8,Excellent,Furnished,0,0,0,0,1,0,0,20.0,affordable,29000
272,For Rent,Apartment,Kikuyu,Nairobi,2,1,1,108,,2001,6,New,Semi-Furnished,0,0,1,0,1,0,0,20.0,affordable,27000
275,For Rent,Bungalow,Kikuyu,Nairobi,3,2,2,139,0.276,2005,0,Fair,Unfurnished,0,0,0,0,1,1,0,20.0,affordable,36000
276,For Rent,Bungalow,Kikuyu,Nairobi,4,3,2,220,0.503,2007,0,Excellent,Furnished,0,0,1,0,1,1,0,20.0,affordable,61000
278,For Rent,Studio,Kikuyu,Nairobi,0,1,0,43,,2007,6,New,Furnished,0,0,0,0,1,0,0,20.0,affordable,29000
281,For Rent,Studio,Kikuyu,Nairobi,0,1,2,25,,2023,10,New,Unfurnished,0,0,1,0,1,0,0,20.0,affordable,19000
284,For Rent,Apartment,Kikuyu,Nairobi,1,1,1,92,,2013,0,New,Furnished,0,0,0,0,1,0,0,20.0,affordable,38000
285,For Rent,Studio,Kikuyu,Nairobi,0,1,2,31,,2015,3,Fair,Unfurnished,0,0,0,0,1,0,0,20.0,affordable,15000
287,For Rent,Studio,Kikuyu,Nairobi,0,1,2,21,,2022,0,Excellent,Semi-Furnished,0,0,1,0,1,0,0,20.0,affordable,35000
289,For Rent,Apartment,Kikuyu,Nairobi,1,1,2,59,,2000,9,Excellent,Furnished,0,0,1,0,1,0,0,20.0,affordable,32000
293,For Rent,Apartment,Kikuyu,Nairobi,2,1,1,131,,2023,6,New,Semi-Furnished,0,0,1,0,1,0,0,20.0,affordable,30000
294,For Rent,Studio,Kikuyu,Nairobi,0,1,1,28,,1993,13,New,Unfurnished,0,0,0,0,1,0,0,20.0,affordable,23000
295,For Rent,Studio,Kikuyu,Nairobi,0,1,1,33,,1997,14,Excellent,Furnished,0,0,0,0,1,0,0,20.0,affordable,27000
298,For Rent,Bungalow,Kikuyu,Nairobi,5,4,2,258,1.408,2013,0,New,Unfurnished,0,0,1,0,1,1,0,20.0,affordable,28000
303,For Rent,Apartment,Kikuyu,Nairobi,2,1,0,161,,2002,1,Excellent,Furnished,0,0,1,0,1,0,0,20.0,affordable,37000
306,For Rent,Apartment,Kileleshwa,Nairobi,4,4,2,204,,1995,10,Excellent,Semi-Furnished,1,0,0,1,1,0,1,5.0,upper_mid,112000
311,For Rent,Townhouse,Kileleshwa,Nairobi,4,3,2,267,,2023,0,Good,Furnished,0,1,0,1,1,0,1,5.0,upper_mid,166000
312,For Rent,Maisonette,Kileleshwa,Nairobi,5,4,2,147,0.372,2015,0,Good,Semi-Furnished,1,0,0,1,1,1,1,5.0,upper_mid,162000
314,For Rent,Apartment,Kileleshwa,Nairobi,1,1,1,50,,2024,2,Excellent,Unfurnished,1,0,0,0,1,0,1,5.0,upper_mid,66000
315,For Rent,Apartment,Kileleshwa,Nairobi,2,1,2,157,,1992,1,Excellent,Furnished,0,1,1,0,1,0,0,5.0,upper_mid,120000
316,For Rent,Apartment,Kileleshwa,Nairobi,2,2,2,139,,2009,5,Fair,Furnished,0,0,1,1,1,0,1,5.0,upper_mid,99000
317,For Rent,Townhouse,Kileleshwa,Nairobi,3,3,3,142,,2018,0,Fair,Unfurnished,0,0,1,0,1,0,1,5.0,upper_mid,142000
325,For Rent,Apartment,Kileleshwa,Nairobi,1,1,1,62,,2019,13,Fair,Semi-Furnished,0,1,0,1,1,0,0,5.0,upper_mid,149000
328,For Rent,Townhouse,Kileleshwa,Nairobi,5,4,3,180,,2008,0,Good,Semi-Furnished,1,1,0,0,1,0,1,5.0,upper_mid,242000
330,For Rent,Maisonette,Kileleshwa,Nairobi,5,4,3,151,0.277,1995,0,Excellent,Semi-Furnished,0,1,0,0,1,1,1,5.0,upper_mid,204000
334,For Rent,Townhouse,Kileleshwa,Nairobi,4,4,3,188,,1991,0,New,Semi-Furnished,0,0,0,0,1,0,1,5.0,upper_mid,170000
335,For Rent,Apartment,Kileleshwa,Nairobi,1,1,2,87,,2017,3,Good,Unfurnished,0,0,1,0,1,0,1,5.0,upper_mid,83000
336,For Rent,Apartment,Kileleshwa,Nairobi,3,2,1,110,,1991,10,Excellent,Semi-Furnished,1,1,1,0,1,0,1,5.0,upper_mid,119000
337,For Rent,Maisonette,Kileleshwa,Nairobi,4,4,2,132,0.516,2010,0,Fair,Unfurnished,1,0,0,0,0,1,1,5.0,upper_mid,93000
339,For Rent,Apartment,Kileleshwa,Nairobi,3,2,1,158,,2001,8,Good,Semi-Furnished,0,1,1,1,1,0,0,5.0,upper_mid,111000
341,For Rent,Apartment,Kileleshwa,Nairobi,2,1,1,78,,2015,13,Excellent,Furnished,1,0,0,0,0,0,1,5.0,upper_mid,127000
342,For Rent,Apartment,Kileleshwa,Nairobi,1,1,1,65,,2024,2,Excellent,Unfurnished,1,1,0,1,1,0,1,5.0,upper_mid,55000
345,For Rent,Townhouse,Kileleshwa,Nairobi,3,2,2,184,,1998,0,Excellent,Unfurnished,0,0,0,1,1,0,1,5.0,upper_mid,81000
349,For Rent,Maisonette,Kilimani,Nairobi,3,3,3,119,0.47,1993,0,Good,Furnished,0,1,1,0,1,1,1,5.0,upper_mid,103000
350,For Rent,Apartment,Kilimani,Nairobi,3,3,1,160,,2009,6,Good,Unfurnished,0,1,1,1,1,0,0,5.0,upper_mid,124000
351,For Rent,Apartment,Kilimani,Nairobi,3,2,2,130,,2009,11,New,Unfurnished,1,1,1,0,1,0,0,5.0,upper_mid,142000
353,For Rent,Apartment,Kilimani,Nairobi,2,2,1,82,,2022,3,New,Semi-Furnished,0,0,0,1,0,0,0,5.0,upper_mid,143000
354,For Rent,Maisonette,Kilimani,Nairobi,4,4,1,143,0.535,2023,0,Fair,Unfurnished,1,1,0,1,1,1,0,5.0,upper_mid,132000
355,For Rent,Apartment,Kilimani,Nairobi,2,1,2,75,,2002,4,Excellent,Unfurnished,1,0,1,1,1,0,1,5.0,upper_mid,46000
358,For Rent,Apartment,Kilimani,Nairobi,1,1,1,79,,1995,7,New,Semi-Furnished,0,1,0,0,1,0,0,5.0,upper_mid,117000
359,For Rent,Apartment,Kilimani,Nairobi,2,2,2,94,,2011,14,New,Unfurnished,0,1,1,0,1,0,1,5.0,upper_mid,91000
